법인구분,고유번호,회사명,법인명,최초취득일자,출자목적,최초취득금액,기말잔액수량,기말잔액지분율,기말잔액장부가액
유가,149354,종근당홀딩스,한미약품,2015.11.13,단순투자,"720,000,000","1,112",0 ,"516,000,000"
유가,136721,신영증권,한국가스공사,2014.08.22,단순투자,"30,000,000,000","30,000,000,000",9.72,"29,854,000,000"
유가,108940,대성홀딩스,서울도시가스,2009.06.01,단순투자,"29,950,000,000","1,130,000",22%,"223,208,000,000"
유가,174004,유성기업,LG화학,2013.07.04,단순투자,"370,000,000","1,451",0.002,"504,000,000"
유가,305668,새론오토모티브,현대모비스,2007.06.20,단순투자,"296,000,000","3,245",-,"617,000,000"
코스닥,545929,제넥신,바이넥스,2015.04.22,단순투자,"2,979,000,000","52,000",0.16%,"476,000,000"
코스닥,131504,서한,JB금융지주,-,단순투자,"4,467,000,000","608,000",0,"3,465,000,000"
유가,106623,현대위아,코렌텍,2012.03.29,단순투자,"9,810,000,000","719,000",7.24,"7,032,000,000"
유가,106623,현대위아,STX중공업,2017.03.31,단순투자,-,-,-,-
유가,143527,경동인베스트,유안타증권,1981.10.20,단순투자,"102,000,000",-,-,-
유가,111810,대웅,브릿지바이오,2018.11.30,단순투자,"3,000,038,000","74,075",2,"3,000,038,000"
유가,177199,디씨엠,금호타이어,2010.09.30,단순투자,"100,000,000","20,000",-,"106,200,000"
유가,177199,디씨엠,현대백화점,2017.03.27,단순투자,"379,663,000","5,000",-,"452,000,000"
유가,177199,디씨엠,삼성전자,2018.06.12,단순투자,"500,946,000","13,563",-,"524,888,000"
유가,177199,디씨엠,SK하이닉스,2018.08.09,단순투자,"30,108,000",386,-,"23,353,000"
유가,177199,디씨엠,GS건설,2018.08.09,단순투자,"22,724,000",520,-,"22,750,000"
유가,177199,디씨엠,삼성SDI,2018.08.09,단순투자,"17,138,000",75,-,"16,425,000"
유가,177199,디씨엠,호텔신라,2018.08.09,단순투자,"27,285,000",255,-,"19,508,000"
유가,177199,디씨엠,롯데케미칼,2018.08.09,단순투자,"17,493,000",51,-,"14,127,000"
유가,177199,디씨엠,SKC,2018.08.09,단순투자,"30,205,000",678,-,"24,272,000"
유가,177199,디씨엠,LG디스플레이,2018.08.09,단순투자,"12,232,000",565,-,"10,198,000"
유가,177199,디씨엠,동원F&B,2018.08.09,단순투자,"18,228,000",62,-,"17,825,000"
유가,177199,디씨엠,LG화학,2018.08.09,단순투자,"23,870,000",62,-,"21,514,000"
유가,177199,디씨엠,LG전자,2018.08.09,단순투자,"4,985,000",62,-,"3,863,000"
유가,177199,디씨엠,현대백화점,2018.08.09,단순투자,"16,301,000",166,-,"15,006,000"
유가,177199,디씨엠,아모레퍼시픽,2018.08.09,단순투자,"11,298,000",42,-,"8,799,000"
유가,177199,디씨엠,현대건설기계,2018.08.09,단순투자,"26,695,000",203,-,"17,336,000"
유가,177199,디씨엠,동일산업,2014.10.28,단순투자,"1,939,050,000","151,600",-,"8,807,960,000"
유가,177199,디씨엠,고려제강,2014.10.29,단순투자,"2,081,605,000","52,223",-,"1,214,185,000"
유가,177199,디씨엠,와이엔텍,2014.12.03,단순투자,"532,921,000","120,000",-,"548,352,000"
유가,177199,디씨엠,원일특강,2014.12.04,단순투자,"696,698,000","58,000",-,"530,700,000"
유가,177199,디씨엠,삼아알미늄,2014.12.12,단순투자,"350,555,000",-,-,0
유가,102113,경인양행,네오세미테크,2000.09.01,단순투자,12,"60,000",0.12%,-
