Unnamed: 0,법인구분,고유번호,회사명,법인명,최초취득일자,출자목적,최초취득금액,기말잔액수량,기말잔액지분율,기말잔액장부가액
0,코스닥,132992,성우하이텍,현대제철,-,단순투자,"34,380,000,000","433,808",0.33,"13,275,000,000"
1,코스닥,132992,성우하이텍,KNN,-,단순투자,"8,662,000,000","7,355,570",5.55,"6,539,000,000"
2,유가,129554,갤럭시아에스엠,갤럭시아머니트리,2022.11.07,단순투자,"25,000,000,000","4,845,000",12,"20,107,000,000"
3,유가,122056,미창석유공업,삼성물산,2020.11.03,단순투자,"552,000,000",-,-,-
4,유가,122056,미창석유공업,삼성바이오로직스,2021.03.11,단순투자,"689,000,000","1,938",-,"1,591,000,000"
5,유가,122056,미창석유공업,삼성전자,2021.02.08,단순투자,"411,000,000","50,000",-,"2,765,000,000"
6,유가,122056,미창석유공업,삼양홀딩스,2021.11.15,단순투자,"94,000,000","4,930",-,"339,000,000"
7,유가,122056,미창석유공업,신한지주,2021.09.24,단순투자,"115,000,000","13,000",-,"458,000,000"
8,유가,122056,미창석유공업,NAVER,2021.05.17,단순투자,"202,000,000","1,700",-,"302,000,000"
9,유가,122056,미창석유공업,카카오,2021.03.11,단순투자,"659,000,000","18,500",-,"982,000,000"
10,유가,122056,미창석유공업,쿠쿠홈시스,2021.11.15,단순투자,"104,000,000","7,450",-,"219,000,000"
11,유가,122056,미창석유공업,클리노믹스,2019.04.30,단순투자,"2,000,000,000",-,-,-
12,유가,122056,미창석유공업,현대자동차,2021.02.10,단순투자,"234,000,000","11,500",-,"1,737,000,000"
13,유가,122056,미창석유공업,호텔신라,2021.03.19,단순투자,"174,000,000","11,000",-,"914,000,000"
14,유가,122056,미창석유공업,GS건설,2021.03.19,단순투자,"120,000,000","16,000",-,"339,000,000"
15,유가,122056,미창석유공업,LG화학,2021.09.03,단순투자,"438,000,000",800,-,"480,000,000"
16,유가,122056,미창석유공업,SK,2021.09.01,단순투자,"129,000,000","15,902",-,"3,005,000,000"
17,유가,122056,미창석유공업,SK이노베이션,2021.03.09,단순투자,"377,000,000","1,621",-,"250,000,000"
18,유가,122056,미창석유공업,SK하이닉스,2021.07.13,단순투자,"475,000,000","24,000",-,"1,800,000,000"
19,유가,122056,미창석유공업,유수홀딩스,2019.07.11,단순투자,"140,000,000",-,-,-
20,유가,122056,미창석유공업,롯데쇼핑,2020.03.30,단순투자,"365,000,000","5,190",-,"472,000,000"
21,코스닥,488989,한양디지텍,디앤디플랫폼리츠,2021.08.27,단순투자,"267,000,000","53,582",0.08,"107,000,000"
22,유가,117498,스틱인베스트먼트,바이옵트로,2006.08.01,단순투자,"476,000,000","146,606",11.1,"645,000,000"
23,기타,241236,씨엘인터내셔널,바이온,2022.05.27,단순투자,"12,472,000","296,282",0.86,"371,833,000"
24,유가,160418,한국프랜지공업,SK하이닉스,2000.01.07,단순투자,"301,000,000","820,000",0.00,"62,000,000"
25,코스닥,304915,코리아에셋투자증권,현대자동차,2021.06.22,단순투자,"732,000,000",-,-,-
26,코스닥,304915,코리아에셋투자증권,스튜디오드래곤,2021.03.29,단순투자,"239,000,000",-,-,-
27,코스닥,304915,코리아에셋투자증권,SK바이오사이언스,2021.03.12,단순투자,"182,000,000",-,-,-
28,코스닥,304915,코리아에셋투자증권,LG에너지솔루션,2022.01.21,단순투자,"1,206,000,000","4,020",0.0,"1,777,000,000"
29,코스닥,304915,코리아에셋투자증권,프로테옴텍,2020.12.14,단순투자,"645,000,000","65,135",0.6,"542,000,000"
30,코스닥,304915,코리아에셋투자증권,보로노이,2021.09.27,단순투자,"486,000,000","9,178",0.1,"292,000,000"
31,코스닥,101549,경동제약,한국단자공업,2007.10.19,단순투자,"43,120,000","206,000",2.0,"10,680,642,000"
32,코스닥,101549,경동제약,삼성바이오로직스,2016.11.07,단순투자,"80,784,000",-,-,-
33,코스닥,101549,경동제약,삼성전자,2018.02.13,단순투자,"224,303,000","10,000",0.0,"547,470,000"
34,코스닥,101549,경동제약,대한항공,2018.04.17,단순투자,"141,614,000","46,000",0.0,"1,052,487,000"
35,코스닥,101549,경동제약,환인제약,2020.04.06,단순투자,"130,095,000","197,000",1.1,"3,467,200,000"
36,코스닥,101549,경동제약,SK하이닉스,2020.11.02,단순투자,"40,700,000",-,-,-
37,코스닥,101549,경동제약,삼성물산,2020.11.02,단순투자,"55,000,000","26,000",0.0,"2,972,565,000"
38,코스닥,101549,경동제약,SK이노베이션,2020.11.25,단순투자,"154,000,000","2,000",0.0,"295,680,000"
39,코스닥,101549,경동제약,현대자동차,2020.10.27,단순투자,"836,500,000","4,000",0.0,"569,270,000"
40,코스닥,101549,경동제약,유한양행,2021.01.29,단순투자,"88,220,000","26,000",0.0,"1,483,196,000"
41,코스닥,101549,경동제약,롯데케미칼,2021.04.30,단순투자,"73,250,000","6,000",0.0,"1,053,150,000"
42,코스닥,101549,경동제약,엔에이치스팩19호,2021.05.21,단순투자,"61,682,000","31,000",0.1,"60,294,000"
43,유가,127200,삼영전자공업,현대바이오,2007.06.01,단순투자,"6,000,000","3,000",0.01,"71,000,000"
